experiment_name,experiment,config_file,environment,environment_id,resolved_environment_id,observation_representation,agent,seed,phase,train_steps,eval_checkpoint,eval_return,checkpoint,episode,return,length,success,environment_steps,gradient_updates,elapsed_seconds,training_elapsed_seconds,evaluation_elapsed_seconds,wall_clock_training_time,wall_clock_evaluation_time,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,selected_branch,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,train,40,,,40,1,-2.1800000000000006,40,0.0,40,0,0.016500250999797572,0.016500250999797572,0.0,0.016500250999797572,0.0,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.18932417253283662,0.0,0.1354553,0.13861901205061872,9.0,1.0,0.15,0.0,0.975,0.004733104313320915,0.020266895686679085,0.0,0.18932417253283662,0.0,0.004531731173050455,0.574060417009434,34.430125000000004,19.9735,none,9.0,45.0,396.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,eval,50,50,4.98,50,1,4.98,2,1.0,50,0,0.02491398099982689,0.021449224999742,0.00346475600008489,0.021449224999742,0.00346475600008489,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.11048223997221156,0.0,0.08594053,0.09195181606978892,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2689028446365159,401.95450000000005,401.95450000000005,neural,14.0,70.0,600.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,eval,50,50,4.98,50,2,4.98,2,1.0,50,0,0.025016002000029403,0.021551245999944513,0.00346475600008489,0.021551245999944513,0.00346475600008489,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.11048223997221156,0.0,0.08594053,0.09195181606978892,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2689028446365159,454.67150000000004,454.67150000000004,neural,14.0,70.0,600.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,train,80,,,80,2,-2.1800000000000006,40,0.0,80,0,0.03849152899965702,0.03502677299957213,0.00346475600008489,0.03502677299957213,0.00346475600008489,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.08638976824718543,0.0,0.026463974,0.029742628211278516,22.0,1.0,0.15,0.0,0.65,0.049203094502878256,0.9507969054971218,0.0,0.049203094502878256,0.1368918895664779,0.048423858182154556,0.3258404267315971,74.84442499999999,20.5135,neural,22.0,110.0,968.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,eval,100,100,-9.31,100,1,-9.31,40,0.0,100,0,0.08277846299961311,0.04277656099975502,0.04000190199985809,0.04277656099975502,0.04000190199985809,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.09992769109172531,0.0,0.012382621,0.01656124691713537,29.0,1.0,0.925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06212923712156736,403.679525,388.91150000000005,neural,29.0,145.0,1276.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,eval,100,100,-9.31,100,2,-9.31,40,0.0,100,0,0.08290835899970261,0.04290645699984452,0.04000190199985809,0.04290645699984452,0.04000190199985809,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.09992769109172531,0.0,0.012382621,0.01656124691713537,29.0,1.0,0.925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06212923712156736,356.09337500000004,349.573,neural,29.0,145.0,1276.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,980,train,100,,,100,3,-0.7900000000000003,20,0.0,100,0,0.08370183799979714,0.043699935999939044,0.04000190199985809,0.043699935999939044,0.04000190199985809,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.09992769109172531,0.0,0.012382621,0.01656124691713537,29.0,1.0,0.05,0.1,0.0,0.12213537548743052,0.8778646245125696,0.0,0.12213537548743052,0.13115522815896463,0.12164484478178872,0.41207303423536834,40.4193,18.805500000000002,neural,29.0,145.0,1276.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,981,train,40,,,40,1,-4.25,40,0.0,40,0,0.015840286000184278,0.015840286000184278,0.0,0.015840286000184278,0.0,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.3164051956819828,0.0,0.14158218,0.1567002005887932,7.0,1.0,0.375,0.0,0.775,0.07591304482688946,0.14908695517311055,0.0,0.3373913103417309,0.0,0.07065308090967723,0.6241263313854483,41.150525,14.8825,none,7.0,35.0,308.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,981,eval,50,50,-0.8000000000000004,50,1,-0.8000000000000004,40,0.0,50,0,0.05824022600017997,0.019572770000195305,0.03866745599998467,0.019572770000195305,0.03866745599998467,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.3164051956819828,0.0,0.09025524,0.10191431346665906,12.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28959979621946974,406.1268,395.491,neural,13.0,65.0,556.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,981,eval,50,50,-0.8000000000000004,50,2,-0.8000000000000004,40,0.0,50,0,0.05838084000015442,0.019713384000169754,0.03866745599998467,0.019713384000169754,0.03866745599998467,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.3164051956819828,0.0,0.09025524,0.10191431346665906,12.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.28959979621946974,405.234325,393.5525,neural,13.0,65.0,556.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,981,train,80,,,80,2,-2.9700000000000006,40,0.0,80,0,0.06925503799993749,0.030587581999952818,0.03866745599998467,0.030587581999952818,0.03866745599998467,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.1707025978409914,0.0,0.031103844,0.049066133347979976,19.0,1.0,0.175,0.175,0.025,0.2160491111382412,0.7839508888617588,0.0,0.2160491111382412,0.30418020206952945,0.2020514692675949,0.5044864899709791,35.354325,15.7775,neural,19.0,95.0,836.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,981,eval,100,100,-9.54,100,1,-9.54,40,0.0,100,0,0.10859928399986529,0.03765546500017081,0.07094381899969449,0.03765546500017081,0.07094381899969449,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.22447104604650706,0.0,0.013304526,0.03163186499070176,21.0,1.0,0.95,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11231635664432398,340.66625000000005,328.29999999999995,neural,21.0,105.0,924.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,981,eval,100,100,-0.8000000000000004,100,2,-0.8000000000000004,40,0.0,100,0,0.10872592499981693,0.03778210600012244,0.07094381899969449,0.03778210600012244,0.07094381899969449,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.22447104604650706,0.0,0.013304526,0.03163186499070176,21.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.11231635664432398,331.25425,322.446,neural,21.0,105.0,924.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_025,981,train,100,,,100,3,-1.1000000000000003,20,0.0,100,0,0.10979639400011365,0.038852575000419165,0.07094381899969449,0.038852575000419165,0.07094381899969449,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.22447104604650706,0.0,0.013304526,0.03163186499070176,21.0,1.0,0.1,0.15,0.0,0.30320414526457035,0.6967958547354298,0.0,0.30320414526457035,0.3895448388685697,0.2920523246774337,0.4957302524570994,40.0935,17.345,neural,21.0,105.0,924.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,980,train,40,,,40,1,-2.1800000000000006,40,0.0,40,0,0.01704040200002055,0.01704040200002055,0.0,0.01704040200002055,0.0,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.13533818289691507,0.0,0.1354553,0.13861901205061872,9.0,1.0,0.15,0.0,0.975,0.0033834545724228766,0.02161654542757712,0.0,0.13533818289691507,0.0,0.004531731173050455,0.07769023331296603,33.4869,21.1445,none,9.0,45.0,396.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,980,eval,50,50,4.98,50,1,4.98,2,1.0,50,0,0.02359700500028339,0.020903215000089403,0.002693790000193985,0.020903215000089403,0.002693790000193985,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.07947515412877444,0.0,0.08594053,0.09195181606978892,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.022471382900619345,366.549,366.549,neural,14.0,70.0,600.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,980,eval,50,50,4.98,50,2,4.98,2,1.0,50,0,0.02368254800012437,0.020988757999930385,0.002693790000193985,0.020988757999930385,0.002693790000193985,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.07947515412877444,0.0,0.08594053,0.09195181606978892,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.022471382900619345,325.6205,325.6205,neural,14.0,70.0,600.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,980,train,80,,,80,2,-2.1800000000000006,40,0.0,80,0,0.03762984900004085,0.034936058999846864,0.002693790000193985,0.034936058999846864,0.002693790000193985,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.06505669800248705,0.0,0.026463974,0.029742628211278516,22.0,1.0,0.15,0.0,0.65,0.03650470495497199,0.9634952950450281,0.0,0.03650470495497199,0.10191472562859893,0.048423858182154556,0.033358062708053915,74.31087500000001,19.695,neural,22.0,110.0,968.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,980,eval,100,100,-9.31,100,1,-9.31,40,0.0,100,0,0.08034726000005321,0.042252349999671424,0.03809491000038179,0.042252349999671424,0.03809491000038179,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.07480017082617249,0.0,0.012382621,0.01656124691713537,29.0,1.0,0.925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004123240229399405,363.6238,363.0915,neural,29.0,145.0,1276.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,980,eval,100,100,-9.31,100,2,-9.31,40,0.0,100,0,0.08044898700018166,0.04235407699979987,0.03809491000038179,0.04235407699979987,0.03809491000038179,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.07480017082617249,0.0,0.012382621,0.01656124691713537,29.0,1.0,0.925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.004123240229399405,375.98592500000007,374.0405,neural,29.0,145.0,1276.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,980,train,100,,,100,3,-0.7900000000000003,20,0.0,100,0,0.08124124000005395,0.04314632999967216,0.03809491000038179,0.04314632999967216,0.03809491000038179,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.07480017082617249,0.0,0.012382621,0.01656124691713537,29.0,1.0,0.05,0.1,0.0,0.09579355427255684,0.904206445727443,0.0,0.09579355427255684,0.08326100776828514,0.12164484478178872,0.0442876605269386,37.62375,18.1845,neural,29.0,145.0,1276.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,981,train,40,,,40,1,-4.25,40,0.0,40,0,0.013970706000236532,0.013970706000236532,0.0,0.013970706000236532,0.0,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.22272824558846732,0.0,0.14158218,0.1567002005887932,7.0,1.0,0.375,0.0,0.775,0.053442201362945654,0.17155779863705434,0.0,0.23752089494642512,0.0,0.07065308090967723,0.09402196795885914,35.0148,15.854,none,7.0,35.0,308.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,981,eval,50,50,-0.8000000000000004,50,1,-0.8000000000000004,40,0.0,50,0,0.04937874799998099,0.01735943799985762,0.03201931000012337,0.01735943799985762,0.03201931000012337,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.22272824558846732,0.0,0.09025524,0.10191431346665906,12.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.024845549096935676,331.804575,330.668,neural,13.0,65.0,556.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,981,eval,50,50,-0.8000000000000004,50,2,-0.8000000000000004,40,0.0,50,0,0.04949720300010085,0.017477892999977485,0.03201931000012337,0.017477892999977485,0.03201931000012337,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.22272824558846732,0.0,0.09025524,0.10191431346665906,12.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.024845549096935676,339.788275,333.7285,neural,13.0,65.0,556.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,981,train,80,,,80,2,-2.9700000000000006,40,0.0,80,0,0.06258549600033803,0.030566186000214657,0.03201931000012337,0.030566186000214657,0.03201931000012337,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.12386412279423366,0.0,0.031103844,0.049066133347979976,19.0,1.0,0.175,0.175,0.025,0.15839525793803527,0.8416047420619648,0.0,0.15839525793803527,0.19935501443279136,0.2020514692675949,0.06694491045724069,40.1617,18.238500000000002,neural,19.0,95.0,836.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,981,eval,100,100,-9.54,100,1,-9.54,40,0.0,100,0,0.1020418820003215,0.037400119000267296,0.0646417630000542,0.037400119000267296,0.0646417630000542,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.16212974948412945,0.0,0.013304526,0.03163186499070176,21.0,1.0,0.95,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.007845920969466966,343.44555,322.95550000000003,neural,21.0,105.0,924.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,981,eval,100,100,-0.8000000000000004,100,2,-0.8000000000000004,40,0.0,100,0,0.1021400800000265,0.0374983169999723,0.0646417630000542,0.0374983169999723,0.0646417630000542,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.16212974948412945,0.0,0.013304526,0.03163186499070176,21.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.007845920969466966,338.59505,323.357,neural,21.0,105.0,924.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_kappa_4,981,train,100,,,100,3,-1.1000000000000003,20,0.0,100,0,0.10291190799989636,0.03827014499984216,0.0646417630000542,0.03827014499984216,0.0646417630000542,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.16212974948412945,0.0,0.013304526,0.03163186499070176,21.0,1.0,0.1,0.15,0.0,0.22237496655841316,0.7776250334415868,0.0,0.22237496655841316,0.2651922562437126,0.2920523246774337,0.061046029240858814,31.981449999999995,15.924500000000002,neural,21.0,105.0,924.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_shoulder_conservative,980,train,40,,,40,1,-2.1800000000000006,40,0.0,40,0,0.013687188999938371,0.013687188999938371,0.0,0.013687188999938371,0.0,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.05,0.0,0.1354553,0.13861901205061872,9.0,1.0,0.15,0.0,0.975,0.00125,0.02375,0.0,0.05,0.0,0.004531731173050455,0.2520219913320973,27.575,15.796,none,9.0,45.0,396.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_shoulder_conservative,980,eval,50,50,4.98,50,1,4.98,2,1.0,50,0,0.020823144000132743,0.01783184700025231,0.002991296999880433,0.01783184700025231,0.002991296999880433,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.03333333333333333,0.0,0.08594053,0.09195181606978892,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08420867543473372,364.842,364.842,neural,14.0,70.0,600.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_shoulder_conservative,980,eval,50,50,4.98,50,2,4.98,2,1.0,50,0,0.020926327999859495,0.017935030999979062,0.002991296999880433,0.017935030999979062,0.002991296999880433,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.03333333333333333,0.0,0.08594053,0.09195181606978892,13.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08420867543473372,346.3885,346.3885,neural,14.0,70.0,600.0
asoc_fuzzy_sensitivity_ablation,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigation-deployment-goal-shift,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,fuzzy_shoulder_conservative,980,train,80,,,80,2,-2.1800000000000006,40,0.0,80,0,0.03363872799991441,0.030647431000033976,0.002991296999880433,0.030647431000033976,0.002991296999880433,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed,0.03333333333333333,0.0,0.026463974,0.029742628211278516,22.0,1.0,0.15,0.0,0.65,0.0175,0.9825000000000002,0.0,0.0175,0.05,0.048423858182154556,0.11720529826696358,66.62559999999999,18.927,neural,22.0,110.0,968.0
