environment,agent,seed,checkpoint,mean_return,success_rate,mean_length,elapsed_seconds,environment_steps,gradient_updates,training_elapsed_seconds,evaluation_elapsed_seconds,mean_gate,support_abstention_rate,global_tabular_error,global_neural_error,visited_states,failure_rate,collision_rate,risk_zone_rate,unsupported_state_ratio,memory_branch_usage_ratio,neural_branch_usage_ratio,abstention_ratio,adaptive_alpha_mean,adaptive_alpha_iqr,support_score_mean,uncertainty_score_mean,inference_time_us_per_decision_mean,inference_time_us_per_decision_median,memory_cost_states,memory_cost_entries,memory_cost_bytes_estimated,eval_checkpoint,eval_return,train_steps,seconds_per_1000_steps,return_auc,success_rate_auc,experiment_name,config_file,environment_id,resolved_environment_id,observation_representation,git_commit_hash,package_version,python_version,torch_version,numpy_version,gymnasium_version,minigrid_version
ApplicationNavigation-deployment-goal-shift,fuzzy_kappa_025,980,100,-9.31,0.0,40.0,0.0829083589997026,100,0,0.0429064569998445,0.040001901999858,0.0999276910917253,0.0,0.012382621,0.0165612469171353,29.0,1.0,0.925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0621292371215673,379.88645,369.24225,29.0,145.0,1276.0,100,-9.31,100,0.429064569998445,-2.165,0.5,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
ApplicationNavigation-deployment-goal-shift,fuzzy_kappa_025,981,100,-5.17,0.0,40.0,0.1087259249998169,100,0,0.0377821060001224,0.0709438189996944,0.224471046046507,0.0,0.013304526,0.0316318649907017,21.0,1.0,0.475,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1123163566443239,335.96025000000003,325.373,21.0,105.0,924.0,100,-5.17,100,0.37782106000122395,-2.9850000000000008,0.0,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
ApplicationNavigation-deployment-goal-shift,fuzzy_kappa_4,980,100,-9.31,0.0,40.0,0.0804489870001816,100,0,0.0423540769997998,0.0380949100003817,0.0748001708261724,0.0,0.012382621,0.0165612469171353,29.0,1.0,0.925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0041232402293994,369.8048625,368.56600000000003,29.0,145.0,1276.0,100,-9.31,100,0.423540769997998,-2.165,0.5,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
ApplicationNavigation-deployment-goal-shift,fuzzy_kappa_4,981,100,-5.17,0.0,40.0,0.1021400800000265,100,0,0.0374983169999723,0.0646417630000542,0.1621297494841294,0.0,0.013304526,0.0316318649907017,21.0,1.0,0.475,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0078459209694669,341.0203,323.15625,21.0,105.0,924.0,100,-5.17,100,0.37498316999972303,-2.9850000000000008,0.0,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
ApplicationNavigation-deployment-goal-shift,fuzzy_shoulder_conservative,980,100,-9.31,0.0,40.0,0.0791055270001379,100,0,0.039213015000314,0.0398925119998239,0.0357142857142857,0.0,0.012382621,0.0165612469171353,29.0,1.0,0.925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0162914403508491,385.41395,378.91825,29.0,145.0,1276.0,100,-9.31,100,0.39213015000314,-2.165,0.5,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
ApplicationNavigation-deployment-goal-shift,fuzzy_shoulder_conservative,981,100,-5.17,0.0,40.0,0.1133552080000299,100,0,0.0432372929999473,0.0701179150000825,0.1017040271238095,0.0,0.013304939,0.0317388222932763,21.0,1.0,0.475,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0307624581022642,345.7205625,338.92100000000005,21.0,105.0,924.0,100,-5.17,100,0.432372929999473,-2.9850000000000008,0.0,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
ApplicationNavigation-deployment-goal-shift,fuzzy_tau_20,980,100,-9.31,0.0,40.0,0.0897118389998468,100,0,0.0492728190001798,0.0404390199996669,0.0831012800841024,0.0,0.012382621,0.0165612469171353,29.0,1.0,0.925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0162914403508491,383.727875,379.87300000000005,29.0,145.0,1276.0,100,-9.31,100,0.492728190001798,-2.165,0.5,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
ApplicationNavigation-deployment-goal-shift,fuzzy_tau_20,981,100,-5.17,0.0,40.0,0.1118869440001617,100,0,0.0389543060000505,0.0729326380001111,0.1848559104150169,0.0,0.013304526,0.0316318649907017,21.0,1.0,0.475,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0306619697046551,404.39036250000004,393.858,21.0,105.0,924.0,100,-5.17,100,0.389543060000505,-2.9850000000000008,0.0,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
ApplicationNavigation-deployment-goal-shift,fuzzy_tau_5,980,100,-9.31,0.0,40.0,0.0807668270003887,100,0,0.041177295000125,0.0395895320002637,0.2558346393911684,0.0,0.012382621,0.0165612469171353,29.0,1.0,0.925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0162914403508491,378.33078750000004,372.92550000000006,29.0,145.0,1276.0,100,-9.31,100,0.41177295000124997,-2.165,0.5,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
ApplicationNavigation-deployment-goal-shift,fuzzy_tau_5,981,100,-5.17,0.0,40.0,0.116748065000138,100,0,0.0398934929999086,0.0768545720002293,0.4201185234763542,0.0,0.01330878,0.0315353360251281,21.0,1.0,0.475,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0305712610356568,422.83443750000004,402.67625,21.0,105.0,924.0,100,-5.17,100,0.39893492999908603,-2.9850000000000008,0.0,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
ApplicationNavigation-deployment-goal-shift,fuzzy_tau_80,980,100,-9.31,0.0,40.0,0.0852654090003852,100,0,0.0435651440002402,0.041700265000145,0.0357142857142857,0.0,0.012382621,0.0165612469171353,29.0,1.0,0.925,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0162914403508491,405.1558125,392.993,29.0,145.0,1276.0,100,-9.31,100,0.43565144000240197,-2.165,0.5,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
ApplicationNavigation-deployment-goal-shift,fuzzy_tau_80,981,100,-5.17,0.0,40.0,0.1132058270000015,100,0,0.0393180370001573,0.0738877899998442,0.0611011346323622,0.0,0.013304939,0.0317388222932763,21.0,1.0,0.475,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0307624581022642,376.5501625,382.5195,21.0,105.0,924.0,100,-5.17,100,0.39318037000157297,-2.9850000000000008,0.0,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
ApplicationNavigation-deployment-goal-shift,fuzzy_zero_support_abstain,980,100,-0.8000000000000004,0.0,40.0,0.0837324830004035,100,0,0.0439364420003585,0.039796041000045,0.0968590568424446,0.0,0.012468666,0.0157913322840629,30.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0155458427160972,170.85618750000003,168.88925,30.0,150.0,1320.0,100,-0.8000000000000004,100,0.43936442000358494,-0.8575000000000004,0.0,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
ApplicationNavigation-deployment-goal-shift,fuzzy_zero_support_abstain,981,100,-0.8000000000000004,0.0,40.0,0.0787094490001436,100,0,0.0412432299999636,0.0374662190001799,0.1848559104150169,0.0,0.013304526,0.0316318649907017,21.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0306619697046551,171.8588,165.92950000000002,21.0,105.0,924.0,100,-0.8000000000000004,100,0.41243229999963593,-0.8000000000000004,0.0,asoc_fuzzy_sensitivity_ablation,configs/fuzzy_sensitivity_ablation.json,ApplicationNavigationSupportShift-v0,ApplicationNavigationSupportShift-v0,native_gymnasium_observation,unknown,1.4.0,3.13.5,2.10.0+cpu,2.3.5,fallback-local,not-installed
